time_sec,grid_index_16th,lane,type,hold_sec,section,source
40.806,422,2,TAP,,MAIN,NORMAL_V2
40.998,424,1,TAP,,MAIN,NORMAL_V2
41.766,432,0,TAP,,MAIN,NORMAL_V2
42.342,438,2,TAP,,MAIN,HARD_ADD
43.11,446,1,TAP,,MAIN,NORMAL_V2
43.302,448,1,TAP,,MAIN,NORMAL_V2
43.878,454,0,TAP,,MAIN,HARD_ADD
44.838,464,0,TAP,,MAIN,NORMAL_V2
45.414,470,2,TAP,,MAIN,NORMAL_V2
45.606,472,1,TAP,,MAIN,NORMAL_V2
45.798,474,0,TAP,,MAIN,HARD_ADD
46.95,486,2,TAP,,MAIN,HARD_ADD
47.142,488,1,TAP,,MAIN,NORMAL_V2
47.334,490,0,TAP,,MAIN,NORMAL_V2
47.91,496,0,TAP,,MAIN,NORMAL_V2
48.87,506,0,TAP,,MAIN,HARD_ADD
49.446,512,1,TAP,,MAIN,NORMAL_V2
49.638,514,2,TAP,,MAIN,NORMAL_V2
50.982,528,2,HOLD_CANDIDATE,0.768,BREAK,NORMAL_V2
52.518,544,0,HOLD_CANDIDATE,0.768,BREAK,NORMAL_V2
52.71,546,1,TAP,,BREAK,HARD_ADD
53.286,552,2,TAP,,BREAK,NORMAL_V2
54.054,560,1,TAP,,BREAK,NORMAL_V2
55.59,576,2,TAP,,BREAK,NORMAL_V2
56.358,584,1,TAP,,SECOND_DROP,NORMAL_V2
56.55,586,2,TAP,,SECOND_DROP,NORMAL_V2
57.03,591,1,TAP,,SECOND_DROP,HARD_16TH_ODD
57.894,600,2,TAP,,SECOND_DROP,NORMAL_V2
58.182,603,0,TAP,,SECOND_DROP,HARD_16TH_ODD
58.662,608,1,TAP,,SECOND_DROP,NORMAL_V2
58.854,610,2,TAP,,SECOND_DROP,NORMAL_V2
59.814,620,0,TAP,,SECOND_DROP,NORMAL_V2
60.198,624,1,TAP,,SECOND_DROP,NORMAL_V2
61.062,633,1,TAP,,SECOND_DROP,HARD_16TH_ODD
61.158,634,1,TAP,,SECOND_DROP,NORMAL_V2
61.734,640,1,TAP,,SECOND_DROP,NORMAL_V2
62.502,648,0,TAP,,SECOND_DROP,NORMAL_V2
62.694,650,2,TAP,,SECOND_DROP,NORMAL_V2
63.27,656,1,TAP,,SECOND_DROP,NORMAL_V2
63.942,663,2,TAP,,SECOND_DROP,HARD_16TH_ODD
64.038,664,2,TAP,,SECOND_DROP,NORMAL_V2
64.998,674,0,TAP,,SECOND_DROP,NORMAL_V2
65.574,680,1,TAP,,SECOND_DROP,NORMAL_V2
65.958,684,2,TAP,,SECOND_DROP,NORMAL_V2
66.822,693,0,TAP,,SECOND_DROP,HARD_16TH_ODD
67.11,696,0,TAP,,SECOND_DROP,NORMAL_V2
67.302,698,1,HOLD_CANDIDATE,0.768,SECOND_DROP,NORMAL_V2
67.878,704,2,TAP,,SECOND_DROP,NORMAL_V2
68.454,710,0,TAP,,SECOND_DROP,NORMAL_V2
69.414,720,2,TAP,,SECOND_DROP,NORMAL_V2
69.702,723,1,TAP,,SECOND_DROP,HARD_16TH_ODD
70.758,734,0,TAP,,SECOND_DROP,NORMAL_V2
70.95,736,1,TAP,,SECOND_DROP,NORMAL_V2
71.718,744,2,TAP,,SECOND_DROP,NORMAL_V2
72.006,747,0,TAP,,SECOND_DROP,HARD_16TH_ODD
72.486,752,0,TAP,,SECOND_DROP,NORMAL_V2
73.062,758,2,TAP,,SECOND_DROP,NORMAL_V2
73.254,760,2,HOLD_CANDIDATE,0.768,SECOND_DROP,NORMAL_V2
74.79,776,2,TAP,,SECOND_DROP,NORMAL_V2
74.982,778,1,TAP,,SECOND_DROP,NORMAL_V2
75.174,780,0,TAP,,SECOND_DROP,NORMAL_V2
75.366,782,2,TAP,,SECOND_DROP,HARD_ADD
76.326,792,2,TAP,,SECOND_DROP,NORMAL_V2
76.71,796,1,TAP,,SECOND_DROP,NORMAL_V2
77.094,800,2,TAP,,SECOND_DROP,HARD_ADD
77.286,802,2,TAP,,SECOND_DROP,NORMAL_V2
77.862,808,2,TAP,,SECOND_DROP,NORMAL_V2
78.246,812,1,TAP,,SECOND_DROP,NORMAL_V2
78.822,818,0,TAP,,SECOND_DROP,HARD_ADD
79.398,824,0,TAP,,SECOND_DROP,NORMAL_V2
79.59,826,1,TAP,,SECOND_DROP,NORMAL_V2
80.166,832,1,TAP,,OUTRO,NORMAL_V2
80.934,840,2,TAP,,OUTRO,NORMAL_V2
81.414,845,1,TAP,,OUTRO,HARD_16TH_ODD
81.702,848,1,HOLD_CANDIDATE,0.768,OUTRO,NORMAL_V2
82.47,856,0,TAP,,OUTRO,NORMAL_V2
83.238,864,2,TAP,,OUTRO,NORMAL_V2
84.006,872,1,TAP,,OUTRO,NORMAL_V2
85.254,885,2,TAP,,OUTRO,HARD_16TH_ODD
85.542,888,0,TAP,,OUTRO,NORMAL_V2
86.31,896,1,TAP,,OUTRO,NORMAL_V2
87.078,904,2,TAP,,OUTRO,NORMAL_V2
87.846,912,1,TAP,,OUTRO,NORMAL_V2
88.614,920,0,TAP,,OUTRO,NORMAL_V2
88.998,924,2,TAP,,OUTRO,HARD_ADD
89.382,928,2,TAP,,OUTRO,NORMAL_V2
